match_id,match_start_date,match_date,match_day,city,venue,bowler,age_years,spell_no,deliveries_match,overs_match,inferred_fielding_time_minutes,avg_temp_c,avg_humidity_pct,precip_mm,esi_norm,days_since_prev,deliveries_7d,deliveries_28d,acwr_7d_over_28d,acwr_std,srpe_sim_au,fatigue_ewma,ck_delta_24h_upl,cmj_drop_pct,hrv_sim_ms,fatigue_score_0_100,injury_risk_score,injury_risk_label,fatigue_score_0_100_v3,injury_risk_prob_v3,injury_risk_label_v3
20210129_GalleInternational_Galle_AMFernando,2021-01-29,2021-01-31,3,Galle,Galle International Stadium,AM Fernando,31.08,1,11,1,4,26.30090654261077,91.88468595542184,1.0453111275187852,0.4501,,11.0,11.0,1.0,4.0,81.0,81.0,37.1,0.0749,78.8,15.6,4.95,High,37.378593166691296,0.9199197156014539,High
20210129_GalleInternational_Galle_AMFernando,2021-01-29,2021-01-31,3,Galle,Galle International Stadium,AM Fernando,31.08,2,33,5,3,25.87099742510605,85.12164503112922,0.0,0.3745,0.0,44.0,44.0,1.0,4.0,111.8,88.7,81.0,0.0973,71.5,31.9,5.87,High,43.09426007389633,0.9172693415413756,High
20210129_GalleInternational_Galle_AMFernando,2021-01-29,2021-02-01,4,Galle,Galle International Stadium,AM Fernando,31.09,1,12,2,0,27.90390761494753,84.31063746838872,5.296005546499346,0.4697,1.0,56.0,56.0,1.0,4.0,82.7,87.2,51.4,0.0629,76.0,18.5,5.97,High,30.258701326678327,0.899921562605752,High
20210129_GalleInternational_Galle_AMFernando,2021-01-29,2021-02-02,5,Galle,Galle International Stadium,AM Fernando,31.09,1,22,3,420,27.976958977189284,89.80661344371521,2.704418897759275,0.5173,1.0,78.0,78.0,1.0,4.0,566.0,206.9,99.0,0.1088,69.6,52.2,6.02,High,40.9826483216758,0.9427226837175224,High
20210129_GalleInternational_Galle_AMFernando,2021-01-29,2021-02-02,5,Galle,Galle International Stadium,AM Fernando,31.09,2,16,2,350,27.76479027754652,80.04492338468108,0.5420710529276065,0.4286,0.0,94.0,94.0,1.0,4.0,415.9,259.15,69.6,0.1279,70.5,52.9,5.93,High,48.16386233102506,0.939465574649504,High
20210207_GalleInternational_Galle_AMFernando,2021-02-07,2021-02-07,1,Galle,Galle International Stadium,AM Fernando,31.1,1,21,3,393,27.034865460932043,87.48881695455631,0.0,0.4517,5.0,71.0,115.0,0.6174,2.4696,518.4,323.9625,73.4,0.1231,65.1,60.8,5.45,High,30.44235986921698,0.583365798742894,Medium
20210207_GalleInternational_Galle_AMFernando,2021-02-07,2021-02-07,1,Galle,Galle International Stadium,AM Fernando,31.1,2,21,3,4,27.631392237901245,84.75085166667313,9.794823040795135,0.4596,0.0,92.0,136.0,0.6765,2.7059,94.2,266.521875,74.3,0.0767,74.7,47.5,5.96,High,41.290797636884385,0.7841421660831376,High
20210207_GalleInternational_Galle_AMFernando,2021-02-07,2021-02-08,2,Galle,Galle International Stadium,AM Fernando,31.1,1,26,4,274,26.60314630209941,88.20897209968679,1.1275173608340654,0.4358,1.0,106.0,162.0,0.6543,2.6173,423.2,305.69140625,81.6,0.1573,64.9,66.0,5.94,High,23.100063879558512,0.5835219113234296,Medium
20210207_GalleInternational_Galle_AMFernando,2021-02-07,2021-02-09,3,Galle,Galle International Stadium,AM Fernando,31.11,1,25,4,193,27.4990370271344,89.21317004075127,40.53567130323946,0.4887,1.0,93.0,187.0,0.4973,1.9893,321.4,309.6185546875,79.3,0.1274,71.7,61.4,3.99,Medium,22.04528035732235,0.3647377707328373,Medium
20210207_GalleInternational_Galle_AMFernando,2021-02-07,2021-02-10,4,Galle,Galle International Stadium,AM Fernando,31.11,1,23,3,189,27.72434360370491,84.37943312102686,1.7155247043344168,0.4613,1.0,140.0,234.0,0.5983,2.3932,286.9,302.2479370117188,56.7,0.1083,69.7,51.5,5.46,High,33.5992472942501,0.6055089377355958,High
20210207_GalleInternational_Galle_AMFernando,2021-02-07,2021-02-10,4,Galle,Galle International Stadium,AM Fernando,31.11,2,24,4,176,28.661382286517693,90.0899292428681,40.807062488446576,0.5538,0.0,117.0,211.0,0.5545,2.218,300.6,307.363916015625,75.0,0.1204,68.4,58.9,6.05,High,36.737193072269044,0.6652919917988455,High
20210207_GalleInternational_Galle_AMFernando,2021-02-07,2021-02-11,5,Galle,Galle International Stadium,AM Fernando,31.11,1,20,3,102,26.73870760711706,83.01930863204198,5.689037247344916,0.4011,1.0,160.0,254.0,0.6299,2.5197,171.9,269.6609527587891,58.0,0.0762,71.0,43.3,5.4,High,33.734886782446004,0.748508429173067,High
20210207_GalleInternational_Galle_AMFernando,2021-02-07,2021-02-11,5,Galle,Galle International Stadium,AM Fernando,31.11,2,20,3,102,26.73870760711706,83.01930863204198,5.689037247344916,0.4011,0.0,180.0,274.0,0.6569,2.6277,171.9,245.22071456909185,54.1,0.0878,76.6,41.1,5.4,High,42.29486701116574,0.8490275672796513,High
20210222_SinhaleseSportsClu_Colombo_AMFernando,2021-02-22,2021-02-22,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.14,1,14,2,114,27.189970946104115,78.8920018080416,0.0,0.3906,11.0,14.0,288.0,0.0486,0.1944,152.9,222.14053592681887,38.2,0.0705,76.0,31.5,1.39,Low,8.71859187277692,0.06706534701280772,Low
20210222_SinhaleseSportsClu_Colombo_AMFernando,2021-02-22,2021-02-22,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.14,2,6,1,132,28.37521358240993,77.63381703494926,1.8993892931212848,0.4398,0.0,20.0,294.0,0.068,0.2721,137.6,201.00540194511416,32.0,0.0407,77.0,23.0,1.94,Low,14.061977297483113,0.21173238386481386,Low
20210222_SinhaleseSportsClu_Colombo_AMFernando,2021-02-22,2021-02-22,1,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.14,3,22,3,15,26.323179215298552,80.25279812156468,0.8656914303198177,0.3582,0.0,42.0,316.0,0.1329,0.5316,93.3,174.0790514588356,60.0,0.0722,74.2,32.2,1.86,Low,16.483584075818655,0.16953596983157215,Low
20210222_SinhaleseSportsClu_Colombo_AMFernando,2021-02-22,2021-02-25,4,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.15,1,24,4,345,28.32074006897965,79.74668855261801,0.6072264716732434,0.454,3.0,66.0,340.0,0.1941,0.7765,501.0,255.8092885941267,86.9,0.1364,69.6,58.6,0.95,Low,22.93636180314558,0.2926719350688279,Low
20210222_SinhaleseSportsClu_Colombo_AMFernando,2021-02-22,2021-02-26,5,Colombo,"Sinhalese Sports Club, Colombo",AM Fernando,31.15,1,13,2,323,27.89054180508696,88.6161762081254,0.0,0.5035,1.0,79.0,353.0,0.2238,0.8952,375.5,285.73196644559505,61.7,0.1068,73.4,50.7,2.0,Low,27.591413876952352,0.33079098883928515,Medium
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-14,1,Galle,Galle International Stadium,AM Fernando,31.2,1,6,1,176,26.81287473078073,71.42981121370836,3.791721429762346,0.3121,16.0,6.0,85.0,0.0706,0.2824,173.3,257.6239748341963,32.7,0.0307,80.0,28.3,1.31,Low,6.134357665945887,0.13522229565532995,Low
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-15,2,Galle,Galle International Stadium,AM Fernando,31.2,1,6,1,146,27.511097322952192,74.74705014368703,0.743411110329055,0.3735,1.0,18.0,97.0,0.1856,0.7423,148.3,209.7947358442354,33.0,0.0468,79.9,25.2,1.87,Low,9.919020254442506,0.13792141706004418,Low
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-15,2,Galle,Galle International Stadium,AM Fernando,31.2,2,6,1,146,27.511097322952192,74.74705014368703,0.743411110329055,0.3735,0.0,12.0,91.0,0.1319,0.5275,148.3,230.2929811256472,36.9,0.0598,85.0,30.5,1.87,Low,18.00825624183741,0.13318814780822352,Low
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-16,3,Galle,Galle International Stadium,AM Fernando,31.2,1,19,3,27,28.658341560782723,77.21281835094804,0.0,0.4506,1.0,37.0,116.0,0.319,1.2759,91.4,180.19605188317647,37.9,0.0792,74.1,27.9,2.75,Medium,16.410153408452018,0.22897058973045079,Low
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-16,3,Galle,Galle International Stadium,AM Fernando,31.2,2,18,3,277,26.946895123814592,78.81607605125448,0.0,0.3779,0.0,55.0,134.0,0.4104,1.6418,360.2,225.1970389123824,73.9,0.0946,69.8,45.3,3.88,Medium,27.477115927412694,0.4600027184954674,Medium
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-16,3,Galle,Galle International Stadium,AM Fernando,31.2,3,7,1,43,28.421649467238147,72.52543195094103,4.968349836892889,0.4013,0.0,62.0,141.0,0.4397,1.7589,75.0,187.6477791842868,36.3,0.0531,76.3,24.5,3.9,Medium,24.01810610547012,0.3907982925875801,Medium
20210314_GalleInternational_Galle_AMFernando,2021-03-14,2021-03-17,4,Galle,Galle International Stadium,AM Fernando,31.21,1,10,1,320,28.36585139179587,76.02731285479365,0.0,0.4265,1.0,72.0,151.0,0.4768,1.9073,333.1,224.0108343882151,57.1,0.1127,75.5,43.2,3.93,Medium,31.492186934262744,0.551401100637974,Medium
